CHANNEL	UTTRANS_ID	SPEAKER_ID	PROMPT	TRANSCRIPTION
C0	G0004_0_S0001.wav	G0004		Menurut saya, maudy sangat profesional.
C0	G0004_0_S0003.wav	G0004		Sepanjang pertandingan, saya telah melihat banyak hal.
C0	G0004_0_S0004.wav	G0004		Foto ilustrasi miras.
C0	G0004_0_S0005.wav	G0004		Kabar mengejutkan datang dari kubu barcelona.
C0	G0004_0_S0008.wav	G0004		Masang itu harus ada izin.
C0	G0004_0_S0010.wav	G0004		Baca juga pesona ronaldo di madrid bikin zidane kagum.
C0	G0004_0_S0011.wav	G0004		Selama ujian, dia muhibbal tidak mengalami kendala apapun.
C0	G0004_0_S0012.wav	G0004		Kata dia, ayo mau banget.
C0	G0004_0_S0013.wav	G0004		Membersihkan tempat pembuangan sampah.
C0	G0004_0_S0014.wav	G0004		Pasang sendal jepit.
C0	G0004_0_S0015.wav	G0004		Saya akan berdiri di tengah, yang salah saya babat habis.
C0	G0004_0_S0016.wav	G0004		Mil mengatakan ada dua rumah yang dikontraknya di cipaganti.
C0	G0004_0_S0017.wav	G0004		Kak niki cantik banget.
C0	G0004_0_S0018.wav	G0004		Sendok teh garam.
C0	G0004_0_S0019.wav	G0004		Tidak, saya tidak kecewa terkait gagal rekrut jorginho.
C0	G0004_0_S0020.wav	G0004		Iya, ibu tadi nangis karena lega.
C0	G0004_0_S0021.wav	G0004		Seorang pelanggan mencoba untuk membeli iphone bekas di sebuah toko.
C0	G0004_0_S0022.wav	G0004		Bermain di arsenal selalu menjadi impian masa kecil saya.
C0	G0004_0_S0024.wav	G0004		Dia itu punya filosofi yang luar biasa.
C0	G0004_0_S0025.wav	G0004		Dan tidak pernah salat berjamaah.
C0	G0004_0_S0026.wav	G0004		Dia punya cita cita, kata zainab.
C0	G0004_0_S0027.wav	G0004		Thailand adalah negerinya para gajah.
C0	G0004_0_S0028.wav	G0004		Misalnya waktu saya jadi menteri perhubungan.
C0	G0004_0_S0030.wav	G0004		Gram brokoli potong kecil kecil.
C0	G0004_0_S0031.wav	G0004		Saya kemenhub, masih terbuka pendaftaran sampai dengan tanggal.
C0	G0004_0_S0033.wav	G0004		Oke, nanti saya periksa dan akan hentikan.
C0	G0004_0_S0034.wav	G0004		Selalu pertimbangkan dengan matang.
C0	G0004_0_S0036.wav	G0004		Meter internasional paling enggak ya.
C0	G0004_0_S0038.wav	G0004		Pastinya prihatin ya.
